equation,General Solution,Initial Condition,Particular Solution
e^ydy=(x^2-2x)dx,y-ln(x^3/3-x^2+c)=0,,
dy/(y+1)=dx/(x-1),y+1-c1(x-1)=0,y(0)=1,y+2x-1=0
ydy/(1+y^2)=dx/(x(1+x^2)),yï¿½?((x^2c1-1)/(1+x^2))=0,,
(3e^x/(e^x-1))dx=((secy)^2/tany)dy,ctany-(e^x-1)^3=0,,
dy/(e^-y)=(e^x+x^2)dx,e^y-e^x-x^3/3-c=0,,
((x-4)/x^3)dx=((y^2-3)/y^4)dy,1/y-1/x-1/y^3+2/x^2-c=0,,
(x/x^2+1)dx=-(cosy/siny)dy,(x^2+1)(siny)^2-c=0,y(1)=?/2,(x^2+1)(siny)^2-c=0
dx/(x+a)=dy/y(1-ay),(x+a)(1-ay)-cy=0,,
ydy=-xe^-(x^2)dx,y^2-e^(-x^2)-c=0,y(0)=1,y^2-e^(-x^2)=0
(1-y^2)dy=x^2dx,3y-y-x^3-c=0,,
2(y-1)dy=(3x^2+4x+2)dx,y^2-2Y-x^3-2x^2-2x-c=0,y(0)=-1,y-1+?(x^2+2x^2+2x+4)=0
((1-2y^2)/y)dy=cosxdx,ln|y|+y^2-sinx-c=0,y(0)=1,ln|y|+y^2-sinx-1=0
dy/(1+y^2)=dx/(1+x^2),y-x-c(1+yx)=0,,
(cosx/sinx)dx=-(e^y/(e^y+1))dy,sinx(e^y+1)-c=0,,
